time,open,high,low,close,volume
1502942400,4261.48,4313.62,4261.32,4308.83,47.18100900000001
1502946000,4308.83,4328.69,4291.37,4315.32,23.234916
1502949600,4315.32,4345.45,4309.37,4324.35,7.229690999999999
1502953200,4324.35,4349.99,4287.41,4349.99,4.443249
1502956800,4333.32,4377.85,4333.32,4360.69,0.9728070000000001
1502960400,4360.69,4445.78,4360,4444,10.763623
1502964000,4441.1,4470,4399.81,4460,24.865398999999993
1502967600,4460,4485.39,4427.3,4427.3,27.018053
1502971200,4427.3,4449.56,4411,4411,23.032398
1502974800,4411,4459,4411,4459,31.312435999999998
1502978400,4459,4485.39,4435.93,4470.82,51.735897
1502982000,4470.82,4470.82,4333.42,4352.34,68.48127
1502985600,4352.34,4354.35,4255.3,4354.18,67.458791
1502989200,4354.18,4354.84,4235.45,4289.24,59.664912
1502992800,4289.24,4302.45,4218.68,4256.97,51.27516300000002
1502996400,4241.91,4335.3,4200.74,4325.23,46.71085
1503000000,4307.56,4354.84,4258.56,4346.74,48.975471999999996
1503003600,4346.74,4369.69,4309.23,4333.55,61.77303600000002
1503007200,4333.55,4359.13,4310,4336.8,57.37614200000001
1503010800,4313.39,4337.38,4280.82,4285.08,81.645263
1503014400,4285.08,4340.62,4228.76,4286.53,82.43547399999999
1503018000,4269.36,4269.36,4134.61,4243.59,75.68488299999999
1503021600,4251.95,4298.64,4234,4267.59,54.071337000000014
1503025200,4244.77,4308.7,4234,4292.39,64.001349
1503028800,4292.39,4292.39,4234.43,4287.92,50.797515
1503032400,4287.92,4340.62,4250.04,4313.56,64.16928600000001
1503036000,4313.56,4316.98,4247.75,4279.46,64.235424
1503039600,4279.46,4304.67,4270.48,4300.25,69.186804
1503043200,4285,4320.71,4259.85,4282.73,74.82984899999998
1503046800,4265.33,4327.25,4265.33,4304.15,45.653156
1503050400,4304.15,4371.52,4296.04,4356.31,51.56367499999999
1503054000,4356.31,4357.37,4302.72,4340.31,24.093448999999996
1503057600,4340.31,4340.31,4287.79,4331.71,15.118957000000004
1503061200,4302.97,4318.16,4221.05,4293.09,46.533767
1503064800,4293.09,4293.09,4193.7,4259.4,74.368943
1503068400,4259.4,4259.4,4200,4236.89,39.94771700000001
1503072000,4236.89,4283.79,4234.54,4250.34,45.038824
1503075600,4250.34,4250.34,4066.53,4193.35,62.691466000000005
1503079200,4171.17,4297.75,4117.41,4117.41,25.318654000000002
1503082800,4086.28,4136.48,4015.7,4136.28,60.598026000000004
1503086400,4135,4135,3981.13,4021.11,19.968036999999995
1503090000,4015.4,4015.4,3938.77,3975.69,14.738630999999998
1503093600,3975.69,4131.83,3938.77,4113.75,29.906204999999996
1503097200,4113.75,4136.48,4085.88,4108.37,44.93683599999999
1503100800,4108.37,4178.31,4084.28,4163.49,41.308876999999995
1503104400,4163.49,4184.69,4143.11,4148.53,28.835177
1503108000,4148.53,4184,4148.53,4156.39,18.754474000000002
1503111600,4156.39,4180,4103.52,4138.55,19.61192
1503115200,4138.55,4156,4046.26,4068.26,17.353232000000002
1503118800,4068.26,4123.95,4027.83,4077,12.514194
1503122400,4077,4082,3986.87,3986.87,51.455431000000004
1503126000,3969.12,4033.47,3933.21,4033.47,31.429221999999996
1503129600,4033.47,4064.84,3964.08,3999,18.006405
1503133200,3999,4082.25,3999,4068.2,5.184222999999999
1503136800,4054,4082,3982.08,4000.58,5.886830999999999
1503140400,4016,4033,3850,3957.6,48.17858300000001
1503144000,3945.12,4095,3928.89,4095,22.230983999999996
1503147600,4095,4100,4035.49,4039.84,12.705664
1503151200,4066,4068.31,4013.7,4042.41,4.334426
1503154800,4042.41,4063.44,3964.67,3972.05,8.244504000000001
1503158400,3972.05,4049.69,3953.4,4000,4.0841769999999995
1503162000,4000,4048.99,3976.72,4027.37,3.0695479999999997
1503165600,4027.37,4096,4013.69,4086.29,17.148202
1503169200,4086.29,4103.92,4073.47,4076.12,1.6231289999999996
1503172800,4088.71,4103.92,4051.47,4075.98,2.9875700000000007
1503176400,4075.98,4149.99,4074.23,4074.23,3.9521940000000004
1503180000,4074.23,4141,4074.23,4139.98,2.3580970000000003
1503183600,4139.98,4139.98,4120.78,4139.98,0.05269899999999999
1503187200,4139.98,4139.98,4044,4086.09,2.343924
1503190800,4086.09,4086.09,4052.82,4082.53,1.061151
1503194400,4082.53,4124.69,4082.53,4124.69,2.858561
1503198000,4124.69,4124.69,4094.62,4094.62,0.347647
1503201600,4094.62,4094.62,4091.8,4093,0.809243
1503205200,4093,4142.16,4087,4117.41,10.743055999999997
1503208800,4117.41,4117.41,4081.19,4115.41,2.9155510000000002
1503212400,4115.41,4156.56,4081.4,4155.87,14.136059999999999
1503216000,4155.87,4211.08,4032.62,4184.73,17.395516000000004
1503219600,4184.73,4184.73,4155,4155,0.39587999999999995
1503223200,4155,4155,4109.84,4142.41,0.9470439999999999
1503226800,4104.68,4125.44,4080,4106.53,17.281503
1503230400,4106.53,4125.43,4080,4108.47,2.7658400000000003
1503234000,4108.47,4125,4063.35,4063.35,1.258162
1503237600,4063.35,4096.32,4063.35,4096.32,1.46565
1503241200,4096.32,4125,4096.32,4125,23.623614
1503244800,4125,4150,4091.59,4131.46,23.366978
1503248400,4131.46,4138.07,4101.4,4129,49.216664
1503252000,4129.32,4158.61,4116,4154.56,48.088875
1503255600,4154.56,4185.94,4144.85,4164.6,49.32300000000002
1503259200,4161.59,4171.62,4116,4140.93,53.43763500000001
1503262800,4140.93,4156.56,4128.75,4150,35.727424
1503266400,4162.59,4169.98,4132.31,4169.98,38.098577000000006
1503270000,4151.14,4171.62,4069.13,4086.29,69.47546700000001
1503273600,4069.13,4119.62,4062.78,4108.28,53.09132499999998
1503277200,4108.28,4114.86,4080.66,4094.6,55.96914699999998
1503280800,4094.6,4109.26,4039,4079.94,58.96114900000002
1503284400,4079.94,4104.68,4048.74,4084.76,52.816522000000006
1503288000,4079.26,4104.68,4047.75,4104.68,39.49077200000002
1503291600,4104.68,4104.68,4011.02,4016.9,67.18030200000003
1503295200,4011.04,4032.01,3953.4,3982.96,66.697745
1503298800,3982.96,4055.92,3970.63,4043.63,49.20631
1503302400,4043.63,4055.92,4010.78,4036.3,54.912335
1503306000,4036.3,4077.07,4035.82,4074,3.9047079999999994
1503309600,4066,4088.12,4066,4088.1,5.090504000000002
1503313200,4088.1,4088.1,4000.01,4023.11,14.970766999999997
1503316800,4023.11,4023.11,4000,4000,6.477680000000002
1503320400,4000,4023.11,3934.43,3951.49,22.207984999999997
1503324000,3914.59,4023.11,3911.79,3989.17,7.695301000000001
1503327600,3989.17,4022,3920.55,4022,7.381829999999999
1503331200,4022,4029.05,3951.26,4029.05,7.316543
1503334800,4029.05,4029.06,3951.26,4016.2,5.072528
1503338400,3997.57,4029.06,3918.8,3918.8,3.884477
1503342000,3918.8,4042.11,3918.8,4027.05,8.193382
1503345600,4027.05,4042.11,3950,4025.04,32.108599
1503349200,4025.04,4070.49,4007.51,4039.1,39.356711999999995
1503352800,4039.1,4041.23,4008.63,4041.1,18.792654000000002
1503356400,4041.1,4041.1,3987.5,4016,10.963783
1503360000,4016,4016,3789.95,3790,60.339017000000005
1503363600,3790,3890.51,3688.97,3700,30.126509000000002
1503367200,3700,3849.98,3689,3849.98,8.334603999999997
1503370800,3849.98,3862.39,3802.53,3862.39,15.885215999999998
1503374400,3863,3868.57,3450.98,3500.8,28.666038999999998
1503378000,3500.8,3695.62,3400,3626.99,14.49939
1503381600,3626.99,3854.46,3619.95,3803,62.096369
1503385200,3803,3803,3733.8,3798.08,61.959720999999995
1503388800,3798.08,3805.76,3750.08,3794.12,36.868111
1503392400,3794.12,3920.31,3775.01,3904.56,76.172178
1503396000,3904.56,3904.56,3826.12,3844.08,59.32218099999998
1503399600,3844.07,3905.56,3841.18,3866.48,49.36876599999997
1503403200,3866.48,3990.12,3853.53,3934.01,75.78758400000001
1503406800,3949.01,3964.75,3874.35,3920.99,38.623871
1503410400,3874.38,3920.99,3786.81,3849,26.182528000000012
1503414000,3829.5,3921.63,3810.07,3858.23,38.76443800000002
1503417600,3858.23,3952.89,3853.47,3905.84,34.77977800000001
